17;м. Чернівці, вул. Калинівська, 13-в;Свідоцтво № 0468;2
3;58018, м. Чернівці, вул. Ентузіастів, 2-б;Свідоцтво № 0348;3
5;58018, м. Чернівці, вул. Ентузіастів, 2-б;Свідоцтво № 0350;3
8;58018, м. Чернівці, вул. Ентузіастів, 2-б;Свідоцтво № 0397;3
9;58018, м. Чернівці, вул. Ентузіастів, 2-б;Свідоцтво № 0354;4
10;58018, м. Чернівці, вул. Ентузіастів, 2-б;Свідоцтво № 0355;4
12;58018, м. Чернівці, вул. Ентузіастів, 2-б;Свідоцтво № 0357;4
13;58018, м. Чернівці, вул. Ентузіастів, 2-б;Свідоцтво № 0358;4
14;58018, м. Чернівці, вул. Ентузіастів, 2-б;Свідоцтво № 0359;4
15;58018, м. Чернівці, вул. Ентузіастів, 2-б;Свідоцтво № 0360;4
6;58018, м. Чернівці, вул. Ентузіастів, 2-б;Свідоцтво № 0351;4
7;58018, м. Чернівці, вул. Ентузіастів, 2-б;Свідоцтво № 0352;4
4;58018, м. Чернівці, вул. Ентузіастів, 2-б;Свідоцтво № 0349;4
2;58018, м. Чернівці, вул. Ентузіастів, 2-б;Свідоцтво № 0347;4
