33.03 33.04 33.05 33.07 33.08 33.09;1
33.03 33.04 33.07 33.08;1
33.03 33.04 33.07 R9;1
33.03 33.06_old 33.07;1
33.03 33.07 33.04;1
33.03 33.07 33.05 33.09;1
33.03 33.07 33.05 33.09 R9;1
33.04 33.03;1
33.04 33.05 33.08 33.09;1
33.05 33.09 R9;1
33.10 33.03 33.04 33.05 33.06 33.08 33.08 33.08 33.06 33.06 33.07;1
33.10 33.03 33.06;1
33.10_old 33.03 33.04 33.06_old 33.07;1
33.10_old 33.03 33.06_old;1
33.10_old 33.04 33.06_old 33.08;1
R9 33.03;1
R9 33.03 33.07 33.04 33.08;1
R9 33.05 33.09;1
R9 33.06_old;1
33.03 33.04 33.05;2
R9 33.06;2
33.06 33.10;2
33.05 33.04;2
33.05 33.09;2
33.03 33.05 33.07;2
33.03 33.05 33.07 33.09;2
33.03 33.06 33.07 33.10;2
33.03 33.06_old;3
33.03 33.07 R9;3
33.04 33.05;4
33.06 R9;4
33.10_old 33.03 33.06_old 33.07;4
33.04 33.08;5
33.03 33.05;5
33.03 33.04;6
33.10 33.06;10
33.05;12
33.06;20
33.06_old;52
33.10_old 33.06_old;57
33.03 33.07;67
33.03;210
33.04;216
R9;250
